Year,League,Team,State
1996,NHL,Colorado Avalanche,Colorado
1997,NBA,Chicago Bulls,Illinois
1997,MLB,Florida Marlins,Florida
1997,NFL,Green Bay,Wisconsin
1997,NHL,Detroit Red Wings,Michigan
1998,NBA,Chicago Bulls,Illinois
1998,MLB,New York Yankees,New York
1998,NFL,Denver,Colorado
1998,NHL,Detroit Red Wings,Michigan
1999,NBA,San Antonio Spurs,Texas
1999,MLB,New York Yankees,New York
1999,NFL,Denver,Colorado
1999,NHL,Dallas Stars,Texas
2000,NBA,Los Angeles Lakers,California
2000,MLB,New York Yankees,New York
2000,NFL,St Louis,Missouri
2000,NHL,New Jersey Devils,New Jersey
2001,NBA,Los Angeles Lakers,California
2001,MLB,Arizona Diamondbacks,Arizona
2001,NFL,Baltimore,Maryland
2001,NHL,Colorado Avalanche,Colorado
2002,NBA,Los Angeles Lakers,California
2002,MLB,Anaheim Angels,California
2002,NFL,New England,Massachusetts
2002,NHL,Detroit Red Wings,Michigan
2003,NBA,San Antonio Spurs,Texas
2003,MLB,Florida Marlins,Florida
2003,NFL,Tampa Bay,Florida
2003,NHL,New Jersey Devils,New Jersey
2004,NBA,Detroit Pistons,Michigan
2004,MLB,Boston Red Sox,Massachusetts
2004,NFL,New England,Massachusetts
2004,NHL,Tampa Bay Lightning,Florida
2005,NBA,San Antonio Spurs,Texas
2005,MLB,Chicago White Sox,Illinois
2005,NFL,New England,Massachusetts
2006,NBA,Miami Heat,Florida
2006,MLB,St. Louis Cardinals,Missouri
2006,NFL,Pittsburgh,Pennsylvania
2006,NHL,Carolina Hurricanes,North Carolina
2007,NBA,San Antonio Spurs,Texas
2007,MLB,Boston Red Sox,Massachusetts
2007,NFL,Indianapolis Colts,Indiana
2007,NHL,Anaheim Ducks,California
2008,NBA,Boston Celtics,Massachusetts
2008,MLB,Philadelphia Phillies,Pennsylvania
2008,NFL,New York Giants,New York
2008,NHL,Detroit Red Wings,Michigan
2009,NBA,Los Angeles Lakers,California
2009,MLB,New York Yankees,New York
2009,NFL,Pittsburgh Steelers,Pennsylvania
2009,NHL,Pittsburgh Penguins,Pennsylvania
2010,NBA,Los Angeles Lakers,California
2010,MLB,San Francisco Giants,California
2010,NFL,New Orleans Saints,Louisiana
2010,NHL,Chicago Blackhawks,Illinois
2011,NBA,Dallas Mavericks,Texas
2011,MLB,St. Louis Cardinals,Missouri
2011,NFL,Green Bay Packers,Wisconsin
2011,NHL,Boston Bruins,Massachusetts
2012,NBA,Miami Heat,Florida
2012,MLB,San Francisco Giants,California
2012,NFL,New York Giants,New York
2012,NHL,Los Angeles Kings,California
2013,NBA,Miami Heat,Florida
2013,MLB,Boston Red Sox,Massachusetts
2013,NFL,Baltimore Ravens,Maryland
2013,NHL,Chicago Blackhawks,Illinois
2014,NBA,San Antonio Spurs,Texas
2014,MLB,San Francisco Giants,California
2014,NFL,Seattle Seahawks,Washington
2014,NHL,Los Angeles Kings,California
2015,NBA,Golden State Warriors,California
2015,MLB,Kansas City Royals,Missouri
2015,NFL,New England Patriots,Massachusetts
2015,NHL,Chicago Blackhawks,Illinois
2016,NBA,Cleveland Cavaliers,Ohio
2016,MLB,Chicago Cubs,Illinois
2016,NFL,Denver Broncos,Colorado
2016,NHL,Pittsburgh Penguins,Pennsylvania
2017,NBA,Golden State Warriors,California
2017,MLB,Houston Astros,Texas
2017,NFL,New England Patriots,Massachusetts
2017,NHL,Pittsburgh Penguins,Pennsylvania
